CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Co-Financial Advisor,Bond Counsel Fee,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1998-0562,Newark,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/12/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,George M Silliman Community Activity Ctr,5000000,5000000,0,,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,5.113,,TIC,,,,06/01/2028 12:00:00 AM,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,PaineWebber Inc,,,,Project Finance Associates,,,Quint & Thimmig LLP,,,,Union Bank of California,3.54,177067,,,,65014,,,,,,,,,
1997-1541,Berkeley Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/03/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,West Berkeley,5450000,5450000,0,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,5.672,,TIC,,,,12/15/2012 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,Project Finance Associates,,,Brown & Wood,,,,State Street Bank & Trust Company,2.65,144194,,,,76627,,,,,,,,,
1990-1022,Union City,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/03/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,3100000,3100000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,6.3,NIC,,,,10/09/1991 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Sutro & Company Inc,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,5890,,,,,,,,,
2016-3041,Dublin Unified School District,2016-3041.pdf (http://cdiacdocs.sto.ca.gov/2016-3041.pdf),SOLD,10/26/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series C,14600000,0,14600000,3048895.4,General obligation bond,K-12 School Facility,Property tax revenues,2.993,3.341,,,,08/01/2026 12:00:00 AM,08/01/2032 12:00:00 AM,NO,S:AA,M:Aa1,NOT RATED,NOT RATED,,,Comp,NO,Citigroup Global Markets Inc,,,,KNN Public Finance,,20250,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,1.07,155747.79,0,0,0,33886.6,0,45000,0,20000,0,2050,0,25498.33,9062.86
2012-0242,Fremont,2012-0242.pdf (http://cdiacdocs.sto.ca.gov/2012-0242.pdf),SOLD,04/10/2012 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Fire Safety,8165000,0,8165000,265700.2,General obligation bond,Public Building,Property tax revenues,2.873,,TIC,,,08/01/2021 12:00:00 AM,08/01/2032 12:00:00 AM,NO,S:AA+,NOT RATED,NOT RATED,NOT RATED,,,Comp,NO,Raymond James & Associates Inc,,,,KNN Public Finance,,41296.5,Quint & Thimmig LLP,,,,Wells Fargo Bank National Association,2.92,238637.14,,,,123291.5,,50000,,,,1250,,10400,12399.14
2011-0411,Alameda Community Improvement Commission,2011-0411.pdf (http://cdiacdocs.sto.ca.gov/2011-0411.pdf),SOLD,05/10/2011 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,Merged WECIP/BWIP Area Series A,9870000,9870000,0,104481.75,Tax allocation bond,Multifamily Housing,Tax increment,8.742,,TIC,,Federally Taxable,03/01/2021 12:00:00 AM,09/01/2041 12:00:00 AM,NO,S:A-,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Alameda Public Financing Authority,,,,CSG Advisors,,43200,Quint & Thimmig LLP,,Quint & Thimmig LLP,,Union Bank NA,1.8,177619.71,0,0,0,61519.71,0,22500,0,27000,0,3870,0,12600,6930
1992-1485,ABAG Finance Corporation,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/02/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Brentwood,2400000,2400000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,6.134,NIC,,,,,N/A,S:BBB,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,PaineWebber Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,28800,,,,,,,,,
1992-0654,Alameda,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/11/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,6500000,6500000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,3.383,NIC,,,,06/30/1993 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of America NT & SA,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,31330,,,,,,,,,
2020-1173,Oakland,2020-1173.pdf (http://cdiacdocs.sto.ca.gov/2020-1173.pdf),SOLD,07/15/2020 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),PENDING (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),Y,No Report,,Y,Alameda,NO,NO,,Cities,City Government,Interim Financing,109220000,109220000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,0.93,0.932,,,Federally Taxable,,06/30/2021 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,MUFG/Mitsubishi UFG Union Bank,,KNN Public Finance,,16000,Jones Hall A Professional Law Corp,,,,,0.14,149993,0,0,0,0,0,26000,0,0,0,0,0,0,107993
2007-0768,Alameda County Industrial Development Authority,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/26/2007 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,Ps Print LLC,3009988,3009988,0,,Conduit revenue bond,Industrial Development,Private obligor payments,,5.135,NIC,,Subject to Alternative Minimum Tax,10/15/2009 12:00:00 AM,09/15/2015 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,E J De La Rosa & Company Inc,,,,Progressive Capital,,,Lofton & Jennings,,,,,3.4,102306,,,,,,,,,,,,,
1994-1295,New Haven Unified School District,1994-1295.pdf (http://cdiacdocs.sto.ca.gov/1994-1295.pdf),SOLD,08/03/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series B,10500000,10500000,0,0,General obligation bond,K-12 School Facility,Property tax revenues,6.194,,TIC,,,08/01/2004 12:00:00 AM,08/01/2019 12:00:00 AM,YES,S:AA,M:Aa,F:AA,NOT RATED,Ins,Ambac,Comp,Unknown,Merrill Lynch & Co,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,Bank of America NT & SA,0.26,26800,0,0,0,0,0,0,0,0,0,0,0,0,26800
1994-1730,Hayward Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,03/23/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Equipment,2670000,2670000,0,2722,Certificates of participation/leases,"Other, Multiple Educational Uses (Equipment, etc.)",General fund of issuing jurisdiction,,6.285,NIC,,,,03/01/2002 12:00:00 AM,NO,NOT RATED,M:Baa,NOT RATED,NOT RATED,,,Neg,Unknown,Grigsby Brandford & Company Inc,,,,,,0,Brown & Wood,,,,First Trust of California NA,1.89,50550,0,0,0,50000,0,0,0,0,0,0,0,0,0
1990-0193,Pleasanton,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,03/20/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Dublin Canyon Rd AD No 1990-1,1560000,0,1560000,,Special assessment bond,Street Construction and Improvements,Special assessments,,7.116,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Miller & Schroeder Financial Inc,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,1.52,23700,,,,31200,,,,,,,,,
2000-0380,Oakland,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/11/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Series E,9000000,0,9000000,,General obligation bond,"Parks, Open Space",Property tax revenues,5.12,,TIC,,,,09/01/2015 12:00:00 AM,N/A,S:AAA,M:Aaa,F:AAA,NOT RATED,Ins,Ambac,Comp,Unknown,Prudential Securities Inc,,,,The PFM Group/Public Financial Management Inc,,,Lofton De Lancie & Nelson,,,,Chase Bank Securities of Texas,1.8,162406,,,,,,,,,,,,,
1999-0182,Berkeley Unified School District,1999-0182.pdf (http://cdiacdocs.sto.ca.gov/1999-0182.pdf),SOLD,04/27/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series H,20000000,20000000,0,0,General obligation bond,K-12 School Facility,Property tax revenues,4.824,,TIC,,,,08/01/2023 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Comp,Unknown,Fidelity Capital Markets,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,0.6,120000,0,0,0,0,0,0,0,0,0,0,0,0,120000
1990-0954,Fremont,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,10/02/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,LID No 43,1000000,1000000,0,,Special assessment bond,Street Construction and Improvements,Special assessments,,7.948,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wedbush Morgan Securities Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,,Sturgis Ness Brunsell & Sperry,,,,,2.5,25000,,,,15000,,,,,,,,,
1992-1395,Alameda County Transportation Commission,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/10/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Transit Authority,,162525000,162525000,0,,Limited tax obligation bond,Public Transit,Other sources,,5.164,NIC,,,,,N/A,S:AAA,M:Aaa,F:AAA,NOT RATED,Ins,Guarantor Unknown,Comp,Unknown,Kidder Peabody & Company Inc,,,,Rohnert Park Housing Financing Authority,,,Arnelle & Hastie,,,,,0,0,,,,0,,,,,,,,,
1994-1655,Peralta Community College District,1994-1655.pdf (http://cdiacdocs.sto.ca.gov/1994-1655.pdf),SOLD,01/19/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,Community College District,Series B,9000000,9000000,0,154199,General obligation bond,"College, University Facility",Property tax revenues,,6.217,NIC,,,08/01/2003 12:00:00 AM,08/01/2018 12:00:00 AM,NO,S:AAA,M:Aaa,F:AAA,NOT RATED,Ins,Ambac,Comp,Unknown,Rauscher Pierce Refsness Inc,,,,Dale Scott & Associates Inc,,0,Orrick Herrington & Sutcliffe LLP,Lofton De Lancie & Nelson,,,Bank of America NT & SA,0.66,58959,0,0,0,0,0,0,0,0,0,0,0,0,58959
1986-0556,Oakland Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/27/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,Central District,91555000,0,91555000,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,7.734,,TIC,,,,,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Grigsby Brandford & Company Inc,,,,,,,Hunter & Anderson,,,,,0,0,,,,0,,,,,,,,,
1990-0571,Albany,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/19/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,1850000,1850000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,5.97,NIC,,,,07/30/1991 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of America NT & SA,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,5161.05,,,,,,,,,
1996-0425,Alameda City Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/05/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.872,NIC,,,,07/01/1997 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,A H Williams & Company,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,Alameda County,0.33,16600,,,,0,,,,,,,,,
1993-0508,Livermore,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/16/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,AD No 1993-2,20430000,0,20430000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,7.163,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,,,,Sturgis Ness Brunsell & Assaf,,,,,0,0,,,,609406347,,,,,,,,,
1998-2028,Union City,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/18/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,YES,1998-1639,Cities,City Government,,1320000,0,1320000,,Other bond,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,4.635,,TIC,,Federally Taxable,,08/01/2013 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Tri-City Waste Facilities Financing Authority,,,,KNN/Kelling Northcross & Nobriga Inc,,,Quint & Thimmig LLP,,,,Dai-Ichi Kangyo Bank of California,0,0,,,,0,,,,,,,,,
2015-2282,New Haven Unified School District,2015-2282.pdf (http://cdiacdocs.sto.ca.gov/2015-2282.pdf),SOLD,10/14/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series A,30000000,30000000,0,2736956.7,General obligation bond,K-12 School Facility,Property tax revenues,3.918,0,,,,08/01/2025 12:00:00 AM,08/01/2045 12:00:00 AM,NO,NOT RATED,M:Aa3,NOT RATED,NOT RATED,,,Neg,NO,George K Baum & Company,,,,The PFM Group/Public Financial Management Inc,,35000,Quint & Thimmig LLP,,Quint & Thimmig LLP,,U.S. Bank National Association,0.92,276425,120000,0,0,120000,0,60000,0,21425,0,3000,0,25000,12000
1987-0307,Fremont,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,04/07/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,LID No 23,17035000,0,17035000,,Special assessment bond,Street Construction and Improvements,Tax increment,,7.462,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,O:unknown,,,Neg,Unknown,Stone & Youngberg,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,0.38,64350,,,,298113,,,,,,,,,
1994-0394,Pleasanton Joint Powers Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/19/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,9640000,0,9640000,,Public lease revenue bond,Public Building,General fund of issuing jurisdiction,,5.8,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Guarantor Unknown,Comp,Unknown,Stone & Youngberg,,,,Bartle Wells Associates,,,Nossaman Guthner Knox & Elliott,,,,,1.41,136350,,,,0,,,,,,,,,
2000-0208,Oakland,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/18/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,65000000,65000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.183,NIC,,,,07/24/2001 12:00:00 AM,N/A,S:SP-1+,M:MIG1,F:F-1+,NOT RATED,,,Comp,Unknown,Banc of America Securities,,,,Pacific Financial Management,,,Hawkins Delafield & Wood LLP,,,,Wells Fargo Bank National Association,0.15,100000,,524750,,0,,,,,,,,,
1999-1797,Berkeley Joint Powers Financing Authority,1999-1797.pdf (http://cdiacdocs.sto.ca.gov/1999-1797.pdf),SOLD,10/06/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Berkeley Repertory Theater,9125000,9125000,0,-15197,Public lease revenue bond,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,5.596,NIC,,,10/01/2007 12:00:00 AM,10/01/2029 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Salomon Smith Barney,,,,Project Finance Associates,,0,Brown & Wood,,,,BNY Mellon Capital Markets LLC,2.12,193540,0,0,0,120102,0,0,0,0,0,0,0,0,0
1986-0589,Fremont,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/25/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,ID No 40,1455000,1455000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,9.914,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wulff Hansen & Company,,,,,,,Sturgis Ness Brunsell & Assaf,,,,,0,0,,,,0,,,,,,,,,
2008-0955,Hayward Unified School District,2008-0955.pdf (http://cdiacdocs.sto.ca.gov/2008-0955.pdf),SOLD,08/14/2008 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,100000000,100000000,0,1210335.3,General obligation bond,K-12 School Facility,Property tax revenues,5.022,,TIC,,,08/01/2016 12:00:00 AM,08/01/2033 12:00:00 AM,NO,S:AA-,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Citigroup Global Markets Inc,,,,Government Financial Strategies Inc,,26500,Lozano Smith LLP,,,,U.S. Bank National Association,1.31,1311889.2,0,0,0,1201889.2,0,55000,0,0,0,1350,0,20250,6900
1998-1241,Hayward Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/11/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,13690000,13690000,0,3354,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,,5.102,NIC,,,,08/01/2018 12:00:00 AM,NO,NOT RATED,M:Baa1,NOT RATED,NOT RATED,,,Neg,Unknown,Salomon Smith Barney,,,,Andrew Ach & Associates Inc,,0,Jones Hall A Professional Law Corp,,,,US Bank Corporate Trust Services,1.53,210000,0,0,0,174617,0,0,0,0,0,0,0,0,0
1990-0835,Fremont,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/13/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Amber Court Apts,10780000,0,10780000,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,,VAR,,,,09/01/2020 12:00:00 AM,N/A,S:AA-/A-1+,NOT RATED,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,Smith Barney Harris Upham & Co Inc,,,,Caine Gressel,,,Stradling Yocca Carlson & Rauth,,,,,0,0,,,,83800,,,,,,,,,
2001-1663,Oakland,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/03/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Pension Obligation,195636449,3265858,192370591,,Pension obligation bonds,Insurance and Pension Funds,Property tax revenues,6.74,,TIC,,Federally Taxable,,12/15/2022 12:00:00 AM,YES,S:AAA/A,M:Aaa/A2,F:AAA/A,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Morgan Stanley & Co LLC,,,,The PFM Group/Public Financial Management Inc,,,Foley & Lardner,,,,Chase Manhattan Bank,1.12,2189858,,,,1076000,,,,,,,,,
1993-0465,San Leandro Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/17/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,Plaza 1 & 2,7590000,7590000,0,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,6.069,NIC,,,,,N/A,S:A-,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Miller & Schroeder Financial Inc,,,,,,,Jones Hall Hill & White,,,,,0.57,42900,,,,94875,,,,,,,,,
1986-1000,Alameda,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/16/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Park Street Landing,2250000,2250000,0,,Conduit revenue bond,Commercial Development,Private obligor payments,,7.4,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,First California Regional Securities Inc,,,,,,,G A Laster,,,,,2,45000,,,,0,,,,,,,,,
